ipaddress,assignment_id,experiment_id,visibility,hit_id,worker_id,NumAns,TimeStarted,AnswerChosen,AnswerOrder,end_time,status,QNum,survey_code,Score,TimeInArray_0,TimeOutArray_0,TimeInArray_1,TimeOutArray_1,TimeInArray_2,TimeOutArray_2,TimeInArray_3,TimeOutArray_3,TimeInArray_4,TimeOurArray_4,TimeInArray_5,TimeOutArray_5,TimeInArray_6,TimeOutArray_6,TimeInArray_7,TimeOutArray_7,survey_codes,TimeInArray8,TimeOutArray8,TimeOutArray4,TimeOutArray_4,RandQ,Guess,GuessAnswers,
,27002,,,,,2,20190214203723,2,2,,,7,2546366,0,,,,,,,,,,,,,,,,,,,,,,6,1132,0,
,27003,,,,,,,,,,,,2546366,,1550176645230,,,,,,,,,,,,,,,,,,,,,,,,
,27004,,,,,,,,,,,,2546366,,,1550176645298,,,,,,,,,,,,,,,,,,,,,,,
,27005,,,,,2,20190214203723,2,1,,,7,2546366,0,,,,,,,,,,,,,,,,,,,,,,6,373,0,
,27006,,,,,,,,,,,,2546366,,,,1550176645534,,,,,,,,,,,,,,,,,,,,,,
,27007,,,,,,,,,,,,2546366,,,,,1550176646082,,,,,,,,,,,,,,,,,,,,,
,27008,,,,,2,20190214203727,1,2,,,8,2546366,0,,,,,,,,,,,,,,,,,,,,,,5,78,0,
,27009,,,,,,,,,,,,2546366,,1550176648769,,,,,,,,,,,,,,,,,,,,,,,,
,27010,,,,,,,,,,,,2546366,,1550176649086,,,,,,,,,,,,,,,,,,,,,,,,
,27011,,,,,,,,,,,,2546366,,1550176649770,,,,,,,,,,,,,,,,,,,,,,,,
,27012,,,,,,,,,,,,2546366,,1550176669564,,,,,,,,,,,,,,,,,,,,,,,,
,27013,,,,,,,,,,,,2546366,,,1550176648837,,,,,,,,,,,,,,,,,,,,,,,
,27014,,,,,,,,,,,,2546366,,,1550176649539,,,,,,,,,,,,,,,,,,,,,,,
,27015,,,,,,,,,,,,2546366,,,1550176649819,,,,,,,,,,,,,,,,,,,,,,,
,27016,,,,,,,,,,,,2546366,,,1550176669581,,,,,,,,,,,,,,,,,,,,,,,
,27017,,,,,2,20190214203727,1,1,,,8,2546366,0,,,,,,,,,,,,,,,,,,,,,,5,34,0,
,27018,,,,,,,,,,,,2546366,,,,1550176669461,,,,,,,,,,,,,,,,,,,,,,
,27019,,,,,,,,,,,,2546366,,,,,1550176669494,,,,,,,,,,,,,,,,,,,,,
,27020,,,,,2,20190214203750,2,1,,,9,2546366,0,,,,,,,,,,,,,,,,,,,,,,10,224,0,
,27021,,,,,2,20190214203750,2,2,,,9,2546366,0,,,,,,,,,,,,,,,,,,,,,,10,342,0,
,27022,,,,,,,,,,,,2546366,,,,1550176672534,,,,,,,,,,,,,,,,,,,,,,
,27023,,,,,,,,,,,,2546366,,,,1550176673781,,,,,,,,,,,,,,,,,,,,,,
,27024,,,,,,,,,,,,2546366,,,,1550176676875,,,,,,,,,,,,,,,,,,,,,,
,27025,,,,,,,,,,,,2546366,,,,,1550176673747,,,,,,,,,,,,,,,,,,,,,
,27026,,,,,,,,,,,,2546366,,,,,1550176675071,,,,,,,,,,,,,,,,,,,,,
,27027,,,,,,,,,,,,2546366,,,,,1550176677185,,,,,,,,,,,,,,,,,,,,,
,27028,,,,,2,20190214203758,2,1,,,10,2546366,0,,,,,,,,,,,,,,,,,,,,,,9,1171,0,
,27029,,,,,2,20190214203758,2,2,,,10,2546366,0,,,,,,,,,,,,,,,,,,,,,,9,1635,0,
,27030,,,,,,,,,,,,2546366,,,,1550176679842,,,,,,,,,,,,,,,,,,,,,,
,27031,,,,,,,,,,,,2546366,,,,,1550176682393,,,,,,,,,,,,,,,,,,,,,
,27032,,,,,,,,,20190214203803,submitted,,2546366,,,,,,,,,,,,,,,,,,,,,,,,,,
128.9.184.121,27033,,random,,,,,,,,,,584301,,,,,,,,,,,,,,,,,,,,,,,,,,
,27034,,random,,,,,,,,,,584301,,,,,,,,,,,,,,,,,,,,,,,,,,
,27035,,,,,2,20190214204157,1,1,,,1,584301,0,,,,,,,,,,,,,,,,,,,,,,9,1938,0,
,27036,,,,,,,,,,,,584301,,1550176919745,,,,,,,,,,,,,,,,,,,,,,,,
,27037,,,,,,,,,,,,584301,,1550176920161,,,,,,,,,,,,,,,,,,,,,,,,
,27038,,,,,,,,,,,,584301,,,1550176919762,,,,,,,,,,,,,,,,,,,,,,,
,27039,,,,,,,,,,,,584301,,,1550176920442,,,,,,,,,,,,,,,,,,,,,,,
,27040,,,,,2,20190214204157,1,2,,,1,584301,0,,,,,,,,,,,,,,,,,,,,,,9,107,0,
,27041,,,,,,,,,,,,584301,,,,1550176920779,,,,,,,,,,,,,,,,,,,,,,
,27042,,,,,,,,,,,,584301,,,,,1550176920813,,,,,,,,,,,,,,,,,,,,,
,27043,,,,,2,20190214204201,2,1,,,2,584301,0,,,,,,,,,,,,,,,,,,,,,,3,8.8,0,
,27044,,,,,2,20190214204201,2,2,,,2,584301,0,,,,,,,,,,,,,,,,,,,,,,3,5,0,
,27045,,,,,,,,,,,,584301,,,,1550176922864,,,,,,,,,,,,,,,,,,,,,,
,27046,,,,,,,,,,,,584301,,,,1550176923064,,,,,,,,,,,,,,,,,,,,,,
,27047,,,,,,,,,,,,584301,,,,1550176923514,,,,,,,,,,,,,,,,,,,,,,
,27048,,,,,,,,,,,,584301,,,,,1550176922964,,,,,,,,,,,,,,,,,,,,,
,27049,,,,,,,,,,,,584301,,,,,1550176923286,,,,,,,,,,,,,,,,,,,,,
,27050,,,,,,,,,,,,584301,,,,,1550176923548,,,,,,,,,,,,,,,,,,,,,
,27051,,,,,2,20190214204204,2,1,,,3,584301,0,,,,,,,,,,,,,,,,,,,,,,6,419,0,
,27052,,,,,2,20190214204204,2,2,,,3,584301,0,,,,,,,,,,,,,,,,,,,,,,6,419,0,
,27053,,,,,,,,,,,,584301,,,,1550176926842,,,,,,,,,,,,,,,,,,,,,,
,27054,,,,,,,,,,,,584301,,,,,1550176927200,,,,,,,,,,,,,,,,,,,,,
,27055,,,,,2,20190214204208,2,1,,,4,584301,0,,,,,,,,,,,,,,,,,,,,,,2,1.9,0,
,27056,,,,,2,20190214204208,2,2,,,4,584301,0,,,,,,,,,,,,,,,,,,,,,,2,2.2,0,
,27057,,,,,,,,,,,,584301,,,,1550176929383,,,,,,,,,,,,,,,,,,,,,,
,27058,,,,,,,,,,,,584301,,,,,1550176930001,,,,,,,,,,,,,,,,,,,,,
,27059,,,,,2,20190214204212,2,1,,,5,584301,0,,,,,,,,,,,,,,,,,,,,,,10,512,0,
,27060,,,,,2,20190214204212,2,2,,,5,584301,0,,,,,,,,,,,,,,,,,,,,,,10,323,0,
,27061,,,,,,,,,,,,584301,,,,1550176933901,,,,,,,,,,,,,,,,,,,,,,
,27062,,,,,,,,,,,,584301,,,,,1550176934777,,,,,,,,,,,,,,,,,,,,,
,27063,,,,,2,20190214204215,1,2,,,6,584301,0,,,,,,,,,,,,,,,,,,,,,,4,1.4,0,
,27064,,,,,,,,,,,,584301,,1550176939301,,,,,,,,,,,,,,,,,,,,,,,,
,27065,,,,,,,,,,,,584301,,1550176939709,,,,,,,,,,,,,,,,,,,,,,,,
,27066,,,,,,,,,,,,584301,,,1550176939404,,,,,,,,,,,,,,,,,,,,,,,
,27067,,,,,,,,,,,,584301,,,1550176940246,,,,,,,,,,,,,,,,,,,,,,,
,27068,,,,,2,20190214204215,1,1,,,6,584301,0,,,,,,,,,,,,,,,,,,,,,,4,2.4,0,
,27069,,,,,2,20190214204221,2,1,,,7,584301,0,,,,,,,,,,,,,,,,,,,,,,8,1168,0,
,27070,,,,,2,20190214204221,2,2,,,7,584301,0,,,,,,,,,,,,,,,,,,,,,,8,74,0,
,27071,,,,,,,,,,,,584301,,,,1550176942204,,,,,,,,,,,,,,,,,,,,,,
,27072,,,,,,,,,,,,584301,,,,,1550176943054,,,,,,,,,,,,,,,,,,,,,
,27073,,,,,2,20190214204223,2,1,,,8,584301,0,,,,,,,,,,,,,,,,,,,,,,5,29,0,
